modelName,averageGainDb,gainRippleDb,groupDelayNs,phaseNonlinearityDegrees,im3SpacingVariationDb,maximumIm3AsymmetryDb,dynamicGainHysteresisDb,dynamicPhaseHysteresisDegrees,nominalIm3Dbc,nominalIm5Dbc,nominalIm7Dbc
rapp,-9.919992142437147e-08,4.8216373787583744e-15,2.844139462768002e-16,4.690816040194e-14,0.030831484289087996,7.105427357601002e-15,2.4084109384613362e-06,9.988744741649122e-18,-38.111667206894666,-48.42800175682197,-69.7279037573548
wiener,0.31523197417795384,0.28508509623890266,0.14757853028715215,0.6292374536246248,0.013391308827173987,0.0004686828905562379,0.06128102071080186,0.012102620618258089,-33.25442536643968,-45.72970135330151,-68.76960086793764
gmp,2.044140179997654,0.20107264538753777,0.07965364560875644,0.5696255367766244,0.037709158459385606,0.02447769070235495,0.007701443579251168,0.030657815377806527,-30.87278267265985,-66.53489146083609,-107.4541882773196
doherty,0.31523197417795384,0.28508509623890266,0.14757853028715215,0.6292374536246248,0.011519359508998406,0.04012295324845283,0.06152162250945483,0.012354094687471928,-31.929308347637683,-46.02749166811247,-52.126412359255426
