stageName,frequencyHz,sourceChain,destinationChain,magnitudeDb,phaseDegrees
pre-PA,-8984375.0,0,1,-13.168020980982915,129.6407927874799
pre-PA,-8984375.0,1,1,0.0,0.0
pre-PA,-8945312.5,0,0,0.0,0.0
pre-PA,-8945312.5,1,0,-20.216851397714866,-12.859660860350488
pre-PA,-8945312.5,0,1,-13.16304129257011,129.20929974964028
pre-PA,-8945312.5,1,1,0.0,0.0
pre-PA,-8906250.0,0,0,0.0,0.0
pre-PA,-8906250.0,1,0,-20.215819110392452,-12.962599832513574
pre-PA,-8906250.0,0,1,-13.15809201176129,128.7777517886057
pre-PA,-8906250.0,1,1,0.0,0.0
pre-PA,-8867187.5,0,0,0.0,0.0
pre-PA,-8867187.5,1,0,-20.214775888329328,-13.065442092362797
pre-PA,-8867187.5,0,1,-13.153173134887108,128.346149276785
pre-PA,-8867187.5,1,1,0.0,0.0
pre-PA,-8828125.0,0,0,0.0,0.0
pre-PA,-8828125.0,1,0,-20.213721684499085,-13.168188522131482
pre-PA,-8828125.0,0,1,-13.14828465828361,127.91449258593752
pre-PA,-8828125.0,1,1,0.0,0.0
pre-PA,-8789062.5,0,0,0.0,0.0
pre-PA,-8789062.5,1,0,-20.21265645240973,-13.270840006145193
pre-PA,-8789062.5,0,1,-13.143426578292525,127.48278208717757
pre-PA,-8789062.5,1,1,0.0,0.0
pre-PA,-8750000.0,0,0,0.0,0.0
pre-PA,-8750000.0,1,0,-20.21158014610725,-13.373397430797905
pre-PA,-8750000.0,0,1,-13.138598891261557,127.05101815097909
pre-PA,-8750000.0,1,1,0.0,0.0
pre-PA,-8710937.5,0,0,0.0,0.0
pre-PA,-8710937.5,1,0,-20.210492720179197,-13.475861684527857
pre-PA,-8710937.5,0,1,-13.13380159354467,126.61920114718
pre-PA,-8710937.5,1,1,0.0,0.0
pre-PA,-8671875.0,0,0,0.0,0.0
pre-PA,-8671875.0,1,0,-20.209394129758223,-13.578233657793248
pre-PA,-8671875.0,0,1,-13.129034681502374,126.18733144498674
pre-PA,-8671875.0,1,1,0.0,0.0
pre-PA,-8632812.5,0,0,0.0,0.0
pre-PA,-8632812.5,1,0,-20.208284330525554,-13.680514243047591
pre-PA,-8632812.5,0,1,-13.124298151501998,125.75540941297876
pre-PA,-8632812.5,1,1,0.0,0.0
