stageName,sourceChain,destinationChain,isDirectPath,detected,gainDb,phaseDegrees,flatnessDb,groupDelaySamples,groupDelayNs
pre-PA,0,0,True,True,0.0,0.0,0.0,-0.0,-0.0
pre-PA,0,1,False,True,-12.817796958244545,29.644174957144806,1.547136209141577,2.4629410965959018,30.78676370744877
pre-PA,1,0,False,True,-19.671718704606455,-35.73650938566548,1.4191295334460143,0.617546830324684,7.71933537905855
pre-PA,1,1,True,True,0.0,0.0,0.0,-0.0,-0.0
post-PA,0,0,True,True,0.0,0.0,0.0,-0.0,-0.0
post-PA,0,1,False,True,-11.254169108224001,-21.24827092947403,1.1484996234593687,1.3219238652426497,16.524048315533122
post-PA,1,0,False,True,-18.499054056132994,51.59355624500528,0.822791327270533,2.7346375231201745,34.18296903900218
post-PA,1,1,True,True,0.0,0.0,0.0,-0.0,-0.0
