methodName,outputPowerDbm,measuredOutputPowerDbm,evmDb,evmPercent,irrDb,aclrWorstDb
IQ-impaired PA,8.0,8.008089649724734,-21.94399970584631,7.9946602959478845,21.93820026016056,33.42220763699157
IQ-impaired PA,11.5,11.508089649724733,-21.943999705846306,7.994660295947889,21.938200260160585,33.42220763699157
IQ-impaired PA,15.0,15.008089649724734,-21.94399970584631,7.9946602959478845,21.93820026016059,33.422207636991565
IQ-impaired PA,18.5,18.508089649724734,-21.94399970584631,7.9946602959478845,21.938200260160585,33.42220763699157
IQ-impaired PA,22.0,22.008089649724734,-21.943999705846306,7.994660295947888,21.938200260160553,33.422207636991565
Conventional GMP,8.0,8.061691389316131,-21.943214954962265,7.995382628422459,21.938477094864727,33.4054994287778
Conventional GMP,11.5,11.562230712188388,-21.94411006225023,7.994558722431192,21.93940866297433,33.40662660751939
Conventional GMP,15.0,15.063438523162233,-21.94603571903748,7.9927865297686225,21.941494043693396,33.40905243726634
Conventional GMP,18.5,18.56614456481344,-21.949954436475615,7.989181325369472,21.946161925598066,33.413993626594646
Conventional GMP,22.0,22.072213670666393,-21.956719884031667,7.982960967405053,21.9566139229614,33.42259709531595
Augmented GMP,8.0,8.000000000119439,-186.376369366899,4.7993401533481014e-08,193.46561634628515,33.53707875488333
Augmented GMP,11.5,11.500000000116424,-186.50931199663825,4.726442732444275e-08,193.60911262771353,33.53707875474988
Augmented GMP,15.0,15.000000000109683,-186.81147869243887,4.564845313141796e-08,193.9392101852659,33.537078754451116
Augmented GMP,18.5,18.500000000094587,-187.50978530755793,4.2122169812252334e-08,194.7270698859505,33.537078753782296
Augmented GMP,22.0,22.000000000060794,-189.15480071637376,3.4854588856576406e-08,196.80226341578705,33.53707875228497
