stageName,improvementCategory,targetOutputPowerDbm,measuredOutputPowerDbm,evmDb,evmPercent,aclrWorstDb,im3WorstDbc,im5WorstDbc,im7WorstDbc,labelNmseDb,peakWeightedLabelNmseDb,regularizedConditionNumber,coefficientNorm,worstPowerLabelNmseDb,worstPowerEvmDb,worstPowerAclrDb,modelDescription
PA baseline stress,Severe compression reference,15.0,15.085105544553207,-48.87123413171877,0.36011258028426585,33.0312305387229,-59.989556119368785,-107.36919250638994,-159.94680815917366,,,,,,,,Unlinearized GMP PA
PA baseline nominal,Equal-power reference,12.0,12.083359006521594,-50.52435620863379,0.2977022997391296,33.03823906237982,-65.94680031724549,-119.39618775204396,-177.3804817921354,,,,,,,,Unlinearized GMP PA
Basic DPD-GMP stress,Severe compression,15.0,15.083081833037184,-54.03832755547885,0.1986477371372761,33.06543940941362,-65.69110865812674,-84.62707869743983,-137.1591913183145,-68.0943642684845,-69.31351814553464,231165.11847316337,1.570462343332239,-62.15064065080103,,,"Orders 1/3/5, memoryDepth=3, crossMemoryDepth=1, ridgeFactor=1e-5, nominal-power ILC label"
Basic DPD-GMP nominal,Baseline inverse,12.0,12.082024455594008,-56.27301260383163,0.15358520078224727,33.07573878089688,-71.15221880048242,-96.62220333514296,-155.0322091325963,-68.0943642684845,-69.31351814553464,231165.11847316337,1.570462343332239,-62.15064065080103,,,"Orders 1/3/5, memoryDepth=3, crossMemoryDepth=1, ridgeFactor=1e-5, nominal-power ILC label"
Memory-expanded DPD-GMP,Memory and nonlinear order,12.0,12.082030919720193,-56.67784066304034,0.14659122256245338,33.07066767633962,-72.70087705033906,-97.50565142254693,-117.58914906773299,-71.31749317385773,-72.99178034186531,5255353.169895167,2.9323780900347134,-62.661679559172214,,,"Orders 1/3/5/7, memoryDepth=5, crossMemoryDepth=3, ridgeFactor=1e-5, nominal-power ILC label"
Peak-weighted DPD-GMP,Envelope peaks,12.0,12.082015964928782,-56.67844672104661,0.14658099451577614,33.0775578677033,-73.1934691200051,-95.10943180066575,-119.84990001621281,-70.58921052310461,-73.86756352563937,54354521.93389112,7.315895148428283,-61.836213093605046,,,"Expanded structure, ridgeFactor=1e-6, peakWeightExponent=2, nominal-power ILC label"
Regularized DPD-GMP,Numerical stability,12.0,12.08203690612221,-56.54997591839147,0.1487651498584056,33.06287423667854,-72.83095510311237,-92.77154605342197,-119.19606925298943,-70.27525958540708,-73.2189614373293,548078.3839560348,1.3723640606133185,-62.50980216780225,-55.453301123508496,33.062199239985326,"Expanded peak-weighted structure, ridgeFactor=1e-4, nominal-power ILC label"
Multi-power DPD-GMP,Power robustness,12.0,12.082366504320209,-56.245520688423824,0.15407208706698594,33.06259957181363,-70.78175751452426,-95.6870105080996,-127.06599417572048,-69.24276253556317,-70.57666665399451,532745.1132773669,1.0825218728943262,-64.80570604976404,-55.25476721690484,33.06209110504732,"Expanded peak-weighted structure, ridgeFactor=1e-4, joint 10/12/14 dBm labels with 1/2/1 segment weights"
